rank	nome	frequencia	percent
900	gondim	17385	0.0086
901	oliveura	17382	0.0086
902	bezera	17366	0.0086
903	martines	17362	0.0085
904	marcio	17343	0.0085
905	barro	17337	0.0085
906	sophia	17314	0.0085
907	pavao	17276	0.0085
908	meirelles	17250	0.0085
909	galindo	17148	0.0084
910	canto	17125	0.0084
911	cirqueira	17001	0.0084
912	dr	17000	0.0084
913	bosco	16975	0.0084
914	ayres	16881	0.0083
915	ap	16874	0.0083
916	asis	16852	0.0083
917	goncalo	16846	0.0083
918	liz	16841	0.0083
919	rebelo	16816	0.0083
920	ponciano	16737	0.0082
921	cutrim	16735	0.0082
922	noleto	16731	0.0082
923	bianchi	16628	0.0082
924	bizerra	16603	0.0082
925	lina	16590	0.0082
926	teofilo	16562	0.0082
927	rafaela	16499	0.0081
928	vinicios	16450	0.0081
929	urbano	16384	0.0081
930	vitoriano	16375	0.0081
931	silvano	16321	0.008
932	gimenez	16300	0.008
933	penteado	16296	0.008
934	barbieri	16251	0.008
935	portes	16215	0.008
936	livramento	16196	0.008
937	amador	16161	0.008
938	montes	16148	0.008
939	salustiano	16139	0.0079
940	lorena	16127	0.0079
941	maximiano	16123	0.0079
942	pompeu	16080	0.0079
943	damacena	16069	0.0079
944	theodoro	16007	0.0079
945	querino	16000	0.0079
946	ribamar	15984	0.0079
947	onorio	15971	0.0079
948	laureano	15966	0.0079
949	cantanhede	15956	0.0079
950	brasileiro	15929	0.0078
951	crus	15928	0.0078
952	marino	15927	0.0078
953	moro	15851	0.0078
954	dalla	15820	0.0078
955	guia	15806	0.0078
956	domiciano	15800	0.0078
957	manhaes	15799	0.0078
958	quintanilha	15762	0.0078
959	demetrio	15757	0.0078
960	eustaquio	15746	0.0078
961	carreiro	15738	0.0077
962	valeriano	15710	0.0077
963	pietro	15696	0.0077
964	barbara	15666	0.0077
965	valeria	15646	0.0077
966	sato	15639	0.0077
967	cristiano	15632	0.0077
968	laranjeira	15610	0.0077
